time,hr,hr_norm
1673967708.459,99.0,-0.05714285714285714
1673967709.459,99.0,-0.05714285714285714
1673967710.459,99.0,-0.05714285714285714
1673967711.459,99.0,-0.05714285714285714
1673967712.459,98.0,-0.06666666666666667
1673967713.459,99.0,-0.05714285714285714
1673967714.459,99.0,-0.05714285714285714
1673967715.459,99.0,-0.05714285714285714
1673967716.459,100.0,-0.047619047619047616
1673967717.459,100.0,-0.047619047619047616
1673967718.459,101.0,-0.0380952380952381
1673967719.459,102.0,-0.02857142857142857
1673967720.459,102.0,-0.02857142857142857
1673967721.459,102.0,-0.02857142857142857
1673967722.459,102.0,-0.02857142857142857
1673967723.459,102.0,-0.02857142857142857
1673967724.459,102.0,-0.02857142857142857
1673967725.459,102.0,-0.02857142857142857
1673967726.459,101.0,-0.0380952380952381
1673967727.459,100.0,-0.047619047619047616
1673967728.459,100.0,-0.047619047619047616
1673967729.459,99.0,-0.05714285714285714
1673967730.459,98.0,-0.06666666666666667
1673967731.459,98.0,-0.06666666666666667
1673967732.459,98.0,-0.06666666666666667
1673967733.459,99.0,-0.05714285714285714
1673967734.459,99.0,-0.05714285714285714
1673967735.459,100.0,-0.047619047619047616
1673967736.459,101.0,-0.0380952380952381
1673967737.459,102.0,-0.02857142857142857
1673967738.459,103.0,-0.01904761904761905
1673967739.459,103.0,-0.01904761904761905
1673967740.459,103.0,-0.01904761904761905
1673967741.459,104.0,-0.009523809523809525
1673967742.459,103.0,-0.01904761904761905
1673967743.459,103.0,-0.01904761904761905
1673967744.459,102.0,-0.02857142857142857
1673967745.459,101.0,-0.0380952380952381
1673967746.459,100.0,-0.047619047619047616
1673967747.459,100.0,-0.047619047619047616
1673967748.459,99.0,-0.05714285714285714
1673967749.459,98.0,-0.06666666666666667
1673967750.459,98.0,-0.06666666666666667
1673967751.459,97.0,-0.0761904761904762
1673967752.459,97.0,-0.0761904761904762
1673967753.459,97.0,-0.0761904761904762
1673967754.459,96.0,-0.08571428571428572
1673967755.459,96.0,-0.08571428571428572
1673967756.459,96.0,-0.08571428571428572
1673967757.459,96.0,-0.08571428571428572
1673967758.459,96.0,-0.08571428571428572
1673967759.459,96.0,-0.08571428571428572
1673967760.459,97.0,-0.0761904761904762
1673967761.459,97.0,-0.0761904761904762
1673967762.459,97.0,-0.0761904761904762
1673967763.459,97.0,-0.0761904761904762
1673967764.459,97.0,-0.0761904761904762
1673967765.459,98.0,-0.06666666666666667
1673967766.459,98.0,-0.06666666666666667
1673967767.459,98.0,-0.06666666666666667
1673967768.459,98.0,-0.06666666666666667
1673967769.459,98.0,-0.06666666666666667
1673967770.459,98.0,-0.06666666666666667
1673967771.459,99.0,-0.05714285714285714
1673967772.459,99.0,-0.05714285714285714
1673967773.459,99.0,-0.05714285714285714
1673967774.459,99.0,-0.05714285714285714
1673967775.459,99.0,-0.05714285714285714
1673967776.459,99.0,-0.05714285714285714
1673967777.459,100.0,-0.047619047619047616
1673967778.459,100.0,-0.047619047619047616
1673967779.459,100.0,-0.047619047619047616
1673967780.459,100.0,-0.047619047619047616
1673967781.459,100.0,-0.047619047619047616
1673967782.459,100.0,-0.047619047619047616
1673967783.459,100.0,-0.047619047619047616
1673967784.459,100.0,-0.047619047619047616
1673967785.459,100.0,-0.047619047619047616
1673967786.459,100.0,-0.047619047619047616
1673967787.459,100.0,-0.047619047619047616
1673967788.459,100.0,-0.047619047619047616
1673967789.459,99.0,-0.05714285714285714
1673967790.459,99.0,-0.05714285714285714
1673967791.459,99.0,-0.05714285714285714
1673967792.459,99.0,-0.05714285714285714
1673967793.459,99.0,-0.05714285714285714
1673967794.459,99.0,-0.05714285714285714
1673967795.459,99.0,-0.05714285714285714
1673967796.459,99.0,-0.05714285714285714
1673967797.459,99.0,-0.05714285714285714
1673967798.459,99.0,-0.05714285714285714
1673967799.459,99.0,-0.05714285714285714
1673967800.459,99.0,-0.05714285714285714
1673967801.459,98.0,-0.06666666666666667
1673967802.459,98.0,-0.06666666666666667
1673967803.459,99.0,-0.05714285714285714
1673967804.459,99.0,-0.05714285714285714
1673967805.459,99.0,-0.05714285714285714
1673967806.459,99.0,-0.05714285714285714
1673967807.459,99.0,-0.05714285714285714
1673967808.459,100.0,-0.047619047619047616
1673967809.459,100.0,-0.047619047619047616
1673967810.459,100.0,-0.047619047619047616
1673967811.459,101.0,-0.0380952380952381
1673967812.459,101.0,-0.0380952380952381
1673967813.459,102.0,-0.02857142857142857
1673967814.459,102.0,-0.02857142857142857
1673967815.459,103.0,-0.01904761904761905
1673967816.459,103.0,-0.01904761904761905
1673967817.459,103.0,-0.01904761904761905
1673967818.459,103.0,-0.01904761904761905
1673967819.459,104.0,-0.009523809523809525
1673967820.459,103.0,-0.01904761904761905
1673967821.459,103.0,-0.01904761904761905
1673967822.459,102.0,-0.02857142857142857
1673967823.459,102.0,-0.02857142857142857
1673967824.459,101.0,-0.0380952380952381
1673967825.459,101.0,-0.0380952380952381
1673967826.459,100.0,-0.047619047619047616
1673967827.459,99.0,-0.05714285714285714
1673967828.459,99.0,-0.05714285714285714
1673967829.459,98.0,-0.06666666666666667
1673967830.459,98.0,-0.06666666666666667
1673967831.459,97.0,-0.0761904761904762
1673967832.459,97.0,-0.0761904761904762
1673967833.459,97.0,-0.0761904761904762
1673967834.459,96.0,-0.08571428571428572
1673967835.459,96.0,-0.08571428571428572
1673967836.459,96.0,-0.08571428571428572
1673967837.459,96.0,-0.08571428571428572
1673967838.459,95.0,-0.09523809523809523
1673967839.459,95.0,-0.09523809523809523
1673967840.459,95.0,-0.09523809523809523
1673967841.459,95.0,-0.09523809523809523
1673967842.459,95.0,-0.09523809523809523
1673967843.459,95.0,-0.09523809523809523
1673967844.459,95.0,-0.09523809523809523
1673967845.459,95.0,-0.09523809523809523
1673967846.459,96.0,-0.08571428571428572
1673967847.459,96.0,-0.08571428571428572
1673967848.459,96.0,-0.08571428571428572
1673967849.459,96.0,-0.08571428571428572
1673965223.459,97.2,-0.07428571428571426
1673965224.459,98.4,-0.0628571428571428
1673965225.459,99.6,-0.05142857142857148
1673965226.459,100.8,-0.04000000000000003
1673965227.459,102.0,-0.02857142857142857
1673965228.459,101.0,-0.0380952380952381
1673965229.459,101.0,-0.0380952380952381
1673965230.459,101.0,-0.0380952380952381
1673965231.459,101.0,-0.0380952380952381
1673965232.459,101.0,-0.0380952380952381
1673965233.459,100.0,-0.047619047619047616
1673965234.459,100.0,-0.047619047619047616
1673965235.459,100.0,-0.047619047619047616
1673965236.459,100.0,-0.047619047619047616
1673965237.459,100.0,-0.047619047619047616
1673965238.459,100.0,-0.047619047619047616
1673965239.459,99.0,-0.05714285714285714
1673965240.459,99.0,-0.05714285714285714
1673965241.459,99.0,-0.05714285714285714
1673965242.459,98.0,-0.06666666666666667
1673965243.459,98.0,-0.06666666666666667
1673965244.459,97.0,-0.0761904761904762
1673965245.459,97.0,-0.0761904761904762
1673965246.459,96.0,-0.08571428571428572
1673965247.459,95.0,-0.09523809523809523
1673965248.459,95.0,-0.09523809523809523
1673965249.459,94.0,-0.10476190476190476
1673965250.459,93.0,-0.11428571428571428
1673965251.459,93.0,-0.11428571428571428
1673965252.459,92.0,-0.12380952380952381
1673965253.459,92.0,-0.12380952380952381
1673965254.459,92.0,-0.12380952380952381
1673965255.459,92.0,-0.12380952380952381
1673965256.459,92.0,-0.12380952380952381
1673965257.459,92.0,-0.12380952380952381
1673965258.459,93.0,-0.11428571428571428
1673965259.459,93.0,-0.11428571428571428
1673965260.459,94.0,-0.10476190476190476
1673965261.459,94.0,-0.10476190476190476
1673965262.459,95.0,-0.09523809523809523
1673965263.459,96.0,-0.08571428571428572
1673965264.459,96.0,-0.08571428571428572
1673965265.459,96.0,-0.08571428571428572
1673965266.459,96.0,-0.08571428571428572
1673965267.459,97.0,-0.0761904761904762
